mismatch_location,s2id,lat,lon,label,sublabel,iso3,distance_from_shore_m,label_source,drift_radius,total_visits,unique_total_ssvid,unique_active_ssvid,active_ssvid_days,unique_stationary_ssvid,stationary_ssvid_days,stationary_fishing_ssvid_days,unique_stationary_fishing_ssvid,top_destination,dock,source
Only in scratch_amanda,9621d8c9,-42.972972222222225,-73.49305555555556,ALQUI,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,9615f653,-39.87469166666667,-73.42629444444445,AMARGOS,,CHL,0.0,anchorage_overrides,,,,,,0,,,0,,,CHL
Only in scratch_amanda,31a79685,10.015046,104.0145654,AN THOI FISHING PORT,,VNM,0.0,anchorage_overrides,,,,,,0,,,0,,,VNM
Only in scratch_amanda,00b91d33,-20.808919677702356,-40.6626007975766,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902c7,-20.795697793813268,-40.65752622204448,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902cf,-20.799140606275916,-40.6626007975766,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902b9,-20.797144376405733,-40.65245120200032,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902b5,-20.806924439873143,-40.65245120200032,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902ad,-20.80981856655603,-40.64229982858774,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902cb,-20.80547730100775,-40.65752622204448,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b91d4f,-20.81815238851295,-40.64737573749707,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
Only in scratch_amanda,00b902c9,-20.800587517264137,-40.65752622204449,ANCHIETA,,BRA,0.0,anchorage_overrides,,,,,,0,,,0,,,BRA
