label,lat,lon,iso3
Hai Chau Fishing Port,19.58316359,105.804576,VNM
vnm_651,19.6055617,105.8192786,VNM
vnm_652,19.61259489,105.8164262,VNM
vnm_653,19.62026848,105.8132319,VNM
vnm_654,19.62182371,105.811915,VNM
vnm_655,19.6228478,105.8108305,VNM
vnm_656,19.88912738,105.9308807,VNM
Hoa Loc Fishing Port,19.8895775,105.9368998,VNM
vnm_658,19.90039816,105.939456,VNM
vnm_659,19.92872661,105.9617074,VNM
vnm_660,20.012579,106.1953328,VNM
vnm_661,20.02080342,106.2001269,VNM
vnm_662,20.02798246,106.2046242,VNM
Thanh Vui Fishing Port,20.02937838,106.2056788,VNM
vnm_664,20.03317159,106.2072838,VNM
vnm_665,20.11626209,107.7241438,VNM
vnm_666,20.1169012,107.7187991,VNM
vnm_667,20.117378,107.7155501,VNM
vnm_668,20.12040131,107.7156121,VNM
vnm_669,20.12049638,107.7189455,VNM
vnm_670,20.12140108,107.7235278,VNM
Bach Long Vi Fishing Port,20.12558114,107.7260216,VNM
vnm_672,20.13740525,107.7204719,VNM
vnm_673,20.13914747,107.7234218,VNM
vnm_674,20.14359883,107.7194591,VNM
vnm_675,20.14395816,107.723288,VNM
vnm_676,20.14553634,107.7145152,VNM
vnm_677,20.14999968,107.7208433,VNM
vnm_678,20.21425112,106.4611663,VNM
vnm_679,20.21455613,106.4613612,VNM
vnm_680,20.66785418,106.8101374,VNM
vnm_681,20.66924307,106.813156,VNM
vnm_682,20.67049988,106.8030148,VNM
vnm_683,20.67125456,106.8149437,VNM
vnm_684,20.67236538,106.8086367,VNM
vnm_685,20.67635273,106.7991039,VNM
vnm_686,20.6862649,106.8012538,VNM
vnm_687,20.71048331,107.0383926,VNM
vnm_688,20.71522771,107.0388579,VNM
vnm_689,20.71999966,107.0617042,VNM
vnm_690,20.72007716,106.7919227,VNM
vnm_691,20.72118619,106.8089457,VNM
Ngoc Hai Fishing Port,20.72242957,106.7976815,VNM
vnm_693,20.72313349,107.0612976,VNM
vnm_694,20.72466236,107.4510329,VNM
vnm_695,20.72479582,107.4484945,VNM
vnm_696,20.72576801,106.8079836,VNM
vnm_697,20.72623906,106.8043298,VNM
vnm_699,20.7297501,107.0607441,VNM
vnm_703,20.73430062,107.0128068,VNM
vnm_704,20.73488712,107.0103512,VNM
vnm_705,20.73609995,107.0615738,VNM
vnm_706,20.73985379,107.0110846,VNM
vnm_707,20.73999227,107.0615216,VNM
vnm_708,20.74166841,107.0134106,VNM
Tran Chau Fishing Port,20.74531348,107.0145602,VNM
vnm_711,20.7492545,107.3837821,VNM
vnm_712,20.75029714,107.3863169,VNM
vnm_716,20.75839192,107.3956797,VNM
vnm_717,20.7584189,107.3972913,VNM
vnm_718,20.7605008,107.4723624,VNM
vnm_728,20.81630599,107.466949,VNM
vnm_731,20.83468722,107.0847892,VNM
vnm_732,20.84446284,107.0905726,VNM
vnm_733,20.84600943,107.0898599,VNM
vnm_734,20.84744943,107.0886801,VNM
vnm_735,20.85497379,107.0942408,VNM
vnm_736,20.855192,107.0806089,VNM
vnm_737,20.85963788,107.0819134,VNM
vnm_738,20.86082865,107.0875079,VNM
vnm_739,20.86435358,107.0888088,VNM
vnm_740,20.87814611,106.8483459,VNM
vnm_742,20.88408618,106.7368696,VNM
vnm_743,20.8858547,106.7337575,VNM
vnm_744,20.88727626,106.7365963,VNM
vnm_745,20.88866191,106.7313786,VNM
vnm_746,20.89045825,107.0262093,VNM
vnm_747,20.90257504,107.0172383,VNM
vnm_748,20.90313184,106.8438601,VNM
vnm_749,20.90629092,106.8435612,VNM
vnm_750,20.90705888,106.8391946,VNM
vnm_751,20.90977169,106.7586687,VNM
vnm_752,20.91024398,106.8338815,VNM
vnm_753,20.91032486,106.7588963,VNM
vnm_754,20.91213518,107.018778,VNM
vnm_755,20.91232656,107.0182724,VNM
vnm_756,20.91270016,106.8312945,VNM
vnm_757,20.92036349,106.9909953,VNM
vnm_758,20.93275014,106.8024869,VNM
vnm_759,20.93382113,106.7986213,VNM
vnm_760,20.9345965,107.0849715,VNM
vnm_761,20.93705545,107.082845,VNM
vnm_762,20.94010202,107.0821188,VNM
vnm_763,20.94187581,107.0913065,VNM
vnm_764,20.94481815,107.0219927,VNM
vnm_765,20.94530147,107.0902851,VNM
vnm_766,20.94563498,107.0880439,VNM
vnm_767,20.94621936,107.0822458,VNM
vnm_769,20.95063088,107.0603271,VNM
vnm_770,20.95120497,107.0572825,VNM
vnm_773,20.95257441,107.0580599,VNM
vnm_776,20.95903095,107.7469291,VNM
vnm_777,20.9629946,107.7503363,VNM
vnm_778,20.96412872,107.7526933,VNM
vnm_779,20.96646156,107.7545288,VNM
vnm_780,20.98601279,107.2597553,VNM
vnm_781,20.9860184,107.2692872,VNM
vnm_782,20.98706741,107.2640004,VNM
vnm_783,20.98797604,107.2444392,VNM
vnm_784,20.98836548,107.2299999,VNM
vnm_785,20.98881134,107.7384459,VNM
vnm_786,20.98910149,107.2418923,VNM
vnm_789,20.99087508,107.2654472,VNM
vnm_790,20.99121228,107.2688141,VNM
vnm_791,20.99402217,107.2700494,VNM
vnm_792,20.99422447,107.2660029,VNM
vnm_793,20.99536738,107.2930841,VNM
vnm_794,20.99902334,107.260623,VNM
vnm_795,21.04979911,107.4218479,VNM
vnm_796,21.05361797,107.4251775,VNM
vnm_797,21.05522385,107.4279505,VNM
vnm_798,21.06006182,107.4309816,VNM
vnm_799,21.06143651,107.4339,VNM
vnm_800,21.06512315,107.4369791,VNM
vnm_801,21.06519708,107.4387569,VNM
vnm_802,21.07110535,107.4347912,VNM
